name,id,branch,tank,tank_name,Camera Position,predict
B02144_tank1_0.jpg,520004086529,สาขา เย็นสบาย,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02261_tank1_0.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02261_tank1_1.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02261_tank1_2.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02261_tank1_3.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,-,มุมกล้องไม่ถูกต้อง
B02261_tank1_4.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02261_tank2_0.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B02261_tank2_1.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B02261_tank2_2.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B02261_tank2_3.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B02261_tank2_4.jpg,520004086565,สาขา เพชรเกษม 65,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B02679_tank1_0.jpg,520004086678,สาขา นิรันดร์เรสซิเดนท์จุด 3 (ยงเจริญ),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B02679_tank1_1.jpg,520004086678,สาขา นิรันดร์เรสซิเดนท์จุด 3 (ยงเจริญ),ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03109_tank1_0.jpg,520004086792,สาขา อาชีวะมหาสารคาม,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ไม่ถูกต้อง
B03109_tank1_1.jpg,520004086792,สาขา อาชีวะมหาสารคาม,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03109_tank1_2.jpg,520004086792,สาขา อาชีวะมหาสารคาม,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03109_tank1_3.jpg,520004086792,สาขา อาชีวะมหาสารคาม,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03109_tank1_4.jpg,520004086792,สาขา อาชีวะมหาสารคาม,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ไม่ถูกต้อง
B03152_tank1_0.jpg,520004086808,สาขา นิรันดร์เรสซิเด้นท์ จุด 5,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03152_tank1_1.jpg,520004086808,สาขา นิรันดร์เรสซิเด้นท์ จุด 5,ถังน้ำดื่ม,NO.1 ถังน้ำดื่ม ,+,ถูกต้อง
B03152_tank2_0.jpg,520004086808,สาขา นิรันดร์เรสซิเด้นท์ จุด 5,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
B03152_tank2_1.jpg,520004086808,สาขา นิรันดร์เรสซิเด้นท์ จุด 5,ถังน้ำใช้,NO.1 ถังน้ำใช้ ,+,ถูกต้อง
